"table_schema","table_name","column_name","data_type"
"auth","saml_providers","updated_at","timestamp with time zone"
"auth","saml_providers","name_id_format","text"
"auth","saml_relay_states","id","uuid"
"auth","saml_relay_states","sso_provider_id","uuid"
"auth","saml_relay_states","request_id","text"
"auth","saml_relay_states","for_email","text"
"auth","saml_relay_states","redirect_to","text"
"auth","saml_relay_states","created_at","timestamp with time zone"
"auth","saml_relay_states","updated_at","timestamp with time zone"
"auth","saml_relay_states","flow_state_id","uuid"
"auth","schema_migrations","version","character varying"
"auth","sessions","id","uuid"
"auth","sessions","user_id","uuid"
"auth","sessions","created_at","timestamp with time zone"
"auth","sessions","updated_at","timestamp with time zone"
"auth","sessions","factor_id","uuid"
"auth","sessions","aal","USER-DEFINED"
"auth","sessions","not_after","timestamp with time zone"
"auth","sessions","refreshed_at","timestamp without time zone"
"auth","sessions","user_agent","text"
"auth","sessions","ip","inet"
"auth","sessions","tag","text"
"auth","sso_domains","id","uuid"
"auth","sso_domains","sso_provider_id","uuid"
"auth","sso_domains","domain","text"
"auth","sso_domains","created_at","timestamp with time zone"
"auth","sso_domains","updated_at","timestamp with time zone"
"auth","sso_providers","id","uuid"
"auth","sso_providers","resource_id","text"
"auth","sso_providers","created_at","timestamp with time zone"
"auth","sso_providers","updated_at","timestamp with time zone"
"auth","users","instance_id","uuid"
"auth","users","id","uuid"
"auth","users","aud","character varying"
"auth","users","role","character varying"
"auth","users","email","character varying"
"auth","users","encrypted_password","character varying"
"auth","users","email_confirmed_at","timestamp with time zone"
"auth","users","invited_at","timestamp with time zone"
"auth","users","confirmation_token","character varying"
"auth","users","confirmation_sent_at","timestamp with time zone"
"auth","users","recovery_token","character varying"
"auth","users","recovery_sent_at","timestamp with time zone"
"auth","users","email_change_token_new","character varying"
"auth","users","email_change","character varying"
"auth","users","email_change_sent_at","timestamp with time zone"
"auth","users","last_sign_in_at","timestamp with time zone"
"auth","users","raw_app_meta_data","jsonb"
"auth","users","raw_user_meta_data","jsonb"
"auth","users","is_super_admin","boolean"
"auth","users","created_at","timestamp with time zone"
"auth","users","updated_at","timestamp with time zone"
"auth","users","phone","text"
"auth","users","phone_confirmed_at","timestamp with time zone"
"auth","users","phone_change","text"
"auth","users","phone_change_token","character varying"
"auth","users","phone_change_sent_at","timestamp with time zone"
"auth","users","confirmed_at","timestamp with time zone"
"auth","users","email_change_token_current","character varying"
"auth","users","email_change_confirm_status","smallint"
"auth","users","banned_until","timestamp with time zone"
"auth","users","reauthentication_token","character varying"
"auth","users","reauthentication_sent_at","timestamp with time zone"
"auth","users","is_sso_user","boolean"
"auth","users","deleted_at","timestamp with time zone"
"auth","users","is_anonymous","boolean"
"extensions","pg_stat_statements","userid","oid"
"extensions","pg_stat_statements","dbid","oid"
"extensions","pg_stat_statements","toplevel","boolean"
"extensions","pg_stat_statements","queryid","bigint"
"extensions","pg_stat_statements","query","text"
"extensions","pg_stat_statements","plans","bigint"
"extensions","pg_stat_statements","total_plan_time","double precision"
"extensions","pg_stat_statements","min_plan_time","double precision"
"extensions","pg_stat_statements","max_plan_time","double precision"
"extensions","pg_stat_statements","mean_plan_time","double precision"
"extensions","pg_stat_statements","stddev_plan_time","double precision"
"extensions","pg_stat_statements","calls","bigint"
"extensions","pg_stat_statements","total_exec_time","double precision"
"extensions","pg_stat_statements","min_exec_time","double precision"
"extensions","pg_stat_statements","max_exec_time","double precision"
"extensions","pg_stat_statements","mean_exec_time","double precision"
"extensions","pg_stat_statements","stddev_exec_time","double precision"
"extensions","pg_stat_statements","rows","bigint"
"extensions","pg_stat_statements","shared_blks_hit","bigint"
"extensions","pg_stat_statements","shared_blks_read","bigint"
"extensions","pg_stat_statements","shared_blks_dirtied","bigint"
"extensions","pg_stat_statements","shared_blks_written","bigint"
"extensions","pg_stat_statements","local_blks_hit","bigint"
"extensions","pg_stat_statements","local_blks_read","bigint"
"extensions","pg_stat_statements","local_blks_dirtied","bigint"
"extensions","pg_stat_statements","local_blks_written","bigint"
"extensions","pg_stat_statements","temp_blks_read","bigint"
"extensions","pg_stat_statements","temp_blks_written","bigint"
"extensions","pg_stat_statements","blk_read_time","double precision"
"extensions","pg_stat_statements","blk_write_time","double precision"
"extensions","pg_stat_statements","temp_blk_read_time","double precision"
"extensions","pg_stat_statements","temp_blk_write_time","double precision"
"extensions","pg_stat_statements","wal_records","bigint"
"extensions","pg_stat_statements","wal_fpi","bigint"
"extensions","pg_stat_statements","wal_bytes","numeric"
"extensions","pg_stat_statements","jit_functions","bigint"
"extensions","pg_stat_statements","jit_generation_time","double precision"
"extensions","pg_stat_statements","jit_inlining_count","bigint"
"extensions","pg_stat_statements","jit_inlining_time","double precision"
"extensions","pg_stat_statements","jit_optimization_count","bigint"
"extensions","pg_stat_statements","jit_optimization_time","double precision"
"extensions","pg_stat_statements","jit_emission_count","bigint"
"extensions","pg_stat_statements","jit_emission_time","double precision"
"extensions","pg_stat_statements_info","dealloc","bigint"
"extensions","pg_stat_statements_info","stats_reset","timestamp with time zone"
"pgsodium","decrypted_key","id","uuid"
"pgsodium","decrypted_key","status","USER-DEFINED"
"pgsodium","decrypted_key","created","timestamp with time zone"
"pgsodium","decrypted_key","expires","timestamp with time zone"
"pgsodium","decrypted_key","key_type","USER-DEFINED"
"pgsodium","decrypted_key","key_id","bigint"
"pgsodium","decrypted_key","key_context","bytea"
"pgsodium","decrypted_key","name","text"
"pgsodium","decrypted_key","associated_data","text"
"pgsodium","decrypted_key","raw_key","bytea"
"pgsodium","decrypted_key","decrypted_raw_key","bytea"
"pgsodium","decrypted_key","raw_key_nonce","bytea"
"pgsodium","decrypted_key","parent_key","uuid"
"pgsodium","decrypted_key","comment","text"
"pgsodium","key","id","uuid"
"pgsodium","key","status","USER-DEFINED"
"pgsodium","key","created","timestamp with time zone"
"pgsodium","key","expires","timestamp with time zone"
"pgsodium","key","key_type","USER-DEFINED"
"pgsodium","key","key_id","bigint"
"pgsodium","key","key_context","bytea"
"pgsodium","key","name","text"
"pgsodium","key","associated_data","text"
"pgsodium","key","raw_key","bytea"
"pgsodium","key","raw_key_nonce","bytea"
"pgsodium","key","parent_key","uuid"
"pgsodium","key","comment","text"
"pgsodium","key","user_data","text"
"pgsodium","mask_columns","attname","name"
"pgsodium","mask_columns","attrelid","oid"
"pgsodium","mask_columns","key_id","text"
"pgsodium","mask_columns","key_id_column","text"
"pgsodium","mask_columns","associated_columns","text"
"pgsodium","mask_columns","nonce_column","text"
"pgsodium","mask_columns","format_type","text"
"pgsodium","masking_rule","attrelid","oid"
"pgsodium","masking_rule","attnum","integer"
"pgsodium","masking_rule","relnamespace","regnamespace"
"pgsodium","masking_rule","relname","name"
"pgsodium","masking_rule","attname","name"
"pgsodium","masking_rule","format_type","text"
"pgsodium","masking_rule","col_description","text"
"pgsodium","masking_rule","key_id_column","text"
"pgsodium","masking_rule","key_id","text"
"pgsodium","masking_rule","associated_columns","text"
"pgsodium","masking_rule","nonce_column","text"
"pgsodium","masking_rule","view_name","text"
"pgsodium","masking_rule","priority","integer"
"pgsodium","masking_rule","security_invoker","boolean"
"pgsodium","valid_key","id","uuid"
"pgsodium","valid_key","name","text"
"pgsodium","valid_key","status","USER-DEFINED"
"pgsodium","valid_key","key_type","USER-DEFINED"
"pgsodium","valid_key","key_id","bigint"
"pgsodium","valid_key","key_context","bytea"
"pgsodium","valid_key","created","timestamp with time zone"
"pgsodium","valid_key","expires","timestamp with time zone"
"pgsodium","valid_key","associated_data","text"
"public","audit_logs","id","uuid"
"public","audit_logs","action","text"
"public","audit_logs","table_name","text"
"public","audit_logs","record_id","uuid"
"public","audit_logs","details","jsonb"
"public","audit_logs","created_at","timestamp with time zone"
"public","daily_restrictions","id","uuid"
"public","daily_restrictions","original_restriction_id","uuid"
"public","daily_restrictions","project_id","uuid"
"public","daily_restrictions","restriction_date","date"
"public","daily_restrictions","time_from","time without time zone"
"public","daily_restrictions","time_to","time without time zone"
"public","daily_restrictions","type","text"
"public","daily_restrictions","betroffene_gleise","ARRAY"
"public","daily_restrictions","comment","text"
"public","daily_restrictions","created_at","timestamp with time zone"
"public","daily_restrictions","updated_at","timestamp with time zone"
"public","nodes","id","uuid"
"public","nodes","name","text"
"public","nodes","type","text"
"public","nodes","project_id","uuid"
"public","nodes","created_at","timestamp with time zone"
"public","nodes","updated_at","timestamp with time zone"
"public","nodes","station_plan","text"
"public","project_users","id","uuid"
"public","project_users","project_id","uuid"
"public","project_users","user_id","uuid"
"public","project_users","role","text"
"public","project_users","created_at","timestamp with time zone"
"public","project_users","updated_at","timestamp with time zone"
"public","projects","id","uuid"
"public","projects","name","text"
"public","projects","color","text"
"public","projects","created_at","timestamp with time zone"
"public","projects","updated_at","timestamp with time zone"
"public","projects","start_date","timestamp with time zone"
"public","projects","end_date","timestamp with time zone"
"public","recurrence_types","type","text"
"public","recurrence_types","description","text"
"public","restriction_nodes","id","uuid"
"public","restriction_nodes","restriction_id","uuid"
"public","restriction_nodes","node_id","uuid"
"public","restriction_nodes","created_at","timestamp with time zone"
"public","restriction_tracks","id","uuid"
"public","restriction_tracks","restriction_id","uuid"
"public","restriction_tracks","track_id","uuid"
"public","restriction_tracks","created_at","timestamp with time zone"
"public","restriction_types","type","text"
"public","restriction_types","description","text"
"public","restrictions","id","uuid"
"public","restrictions","type","text"
"public","restrictions","recurrence","text"
"public","restrictions","comment","text"
"public","restrictions","created_at","timestamp with time zone"
"public","restrictions","updated_at","timestamp with time zone"
"public","restrictions","start_datetime","timestamp with time zone"
"public","restrictions","end_datetime","timestamp with time zone"
"public","restrictions","repetition_pattern","text"
"public","restrictions","restriction_types","text"
"public","restrictions","project_id","uuid"
"public","restrictions","from_datetime","timestamp with time zone"
"public","restrictions","to_datetime","timestamp with time zone"
"public","tracks","id","uuid"
"public","tracks","node_id","uuid"
"public","tracks","name","text"
"public","tracks","useful_length","integer"
"public","tracks","created_at","timestamp with time zone"
"public","tracks","updated_at","timestamp with time zone"
"public","tracks","available_from","timestamp with time zone"
"public","tracks","available_to","timestamp with time zone"
"public","trip_types","type","text"
"public","trip_types","description","text"
"public","trip_wagons","id","uuid"
"public","trip_wagons","trip_id","uuid"
"public","trip_wagons","wagon_id","uuid"
"public","trip_wagons","created_at","timestamp with time zone"
"public","trips","id","uuid"
"public","trips","type","text"
"public","trips","datetime","timestamp with time zone"
"public","trips","source_track_id","uuid"
"public","trips","dest_track_id","uuid"
"public","trips","transport_plan_number","text"
"public","trips","is_planned","boolean"
"public","trips","created_at","timestamp with time zone"
"public","trips","updated_at","timestamp with time zone"
"public","trips","transport_plan_file","text"
"public","trips","project_id","uuid"
"public","trips","has_conflicts","boolean"
"public","trips","comment","text"
"public","trips","construction_site_id","uuid"
"public","trips_with_conflicts","id","uuid"
"public","trips_with_conflicts","type","text"
"public","trips_with_conflicts","datetime","timestamp with time zone"
"public","trips_with_conflicts","source_track_id","uuid"
"public","trips_with_conflicts","dest_track_id","uuid"
"public","trips_with_conflicts","transport_plan_number","text"
"public","trips_with_conflicts","is_planned","boolean"
"public","trips_with_conflicts","created_at","timestamp with time zone"
"public","trips_with_conflicts","updated_at","timestamp with time zone"
"public","trips_with_conflicts","transport_plan_file","text"
"public","trips_with_conflicts","project_id","uuid"
"public","trips_with_conflicts","has_conflicts","boolean"
"public","trips_with_conflicts","source_track_name","text"
"public","trips_with_conflicts","source_node_name","text"
"public","trips_with_conflicts","dest_track_name","text"
"public","trips_with_conflicts","dest_node_name","text"
"public","trips_with_conflicts","project_name","text"
"public","users","id","uuid"
"public","users","email","text"
"public","users","role","text"
"public","users","created_at","timestamp with time zone"
"public","users","updated_at","timestamp with time zone"
"public","wagon_locations","id","uuid"
"public","wagon_locations","wagon_id","uuid"
"public","wagon_locations","track_id","uuid"
"public","wagon_locations","arrival_trip_id","uuid"
"public","wagon_locations","departure_trip_id","uuid"
"public","wagon_locations","arrival_time","timestamp with time zone"
"public","wagon_locations","departure_time","timestamp with time zone"
"public","wagon_locations","created_at","timestamp with time zone"
"public","wagon_locations","updated_at","timestamp with time zone"
"public","wagon_trajectories","id","uuid"
"public","wagon_trajectories","wagon_id","uuid"
"public","wagon_trajectories","track_id","uuid"
"public","wagon_trajectories","node_id","uuid"
"public","wagon_trajectories","timestamp","timestamp with time zone"
"public","wagon_trajectories","move_type","character varying"
"public","wagon_trajectories","trip_id","uuid"
"public","wagon_trajectories","previous_track_id","uuid"
"public","wagon_trajectories","position","numeric"
"public","wagon_trajectories","created_at","timestamp with time zone"
"public","wagon_trajectories","updated_at","timestamp with time zone"
"public","wagon_trajectories","next_track_id","uuid"
"public","wagon_types","id","uuid"
"public","wagon_types","name","text"
"public","wagon_types","default_length","integer"
"public","wagon_types","created_at","timestamp with time zone"
"public","wagon_types","updated_at","timestamp with time zone"
"public","wagons","id","uuid"
"public","wagons","external_id","text"
"public","wagons","type_id","uuid"
"public","wagons","custom_type","text"
"public","wagons","length","integer"
"public","wagons","content","text"
"public","wagons","project_id","uuid"
"public","wagons","track_id","uuid"
"public","wagons","created_at","timestamp with time zone"
"public","wagons","updated_at","timestamp with time zone"
"public","wagons","temp_id","uuid"
"public","wagons","number","text"
"public","wagons","useful_length","numeric"
"public","wagons","construction_site_id","uuid"
"public","wagons","current_track_id","uuid"
"realtime","messages","topic","text"
"realtime","messages","extension","text"
"realtime","messages","payload","jsonb"
"realtime","messages","event","text"
"realtime","messages","private","boolean"
"realtime","messages","updated_at","timestamp without time zone"
"realtime","messages","inserted_at","timestamp without time zone"
"realtime","messages","id","uuid"
"realtime","schema_migrations","version","bigint"
"realtime","schema_migrations","inserted_at","timestamp without time zone"
"realtime","subscription","id","bigint"
"realtime","subscription","subscription_id","uuid"
"realtime","subscription","entity","regclass"
"realtime","subscription","filters","ARRAY"
"realtime","subscription","claims","jsonb"
"realtime","subscription","claims_role","regrole"
"realtime","subscription","created_at","timestamp without time zone"
"storage","buckets","id","text"
"storage","buckets","name","text"
"storage","buckets","owner","uuid"
"storage","buckets","created_at","timestamp with time zone"
"storage","buckets","updated_at","timestamp with time zone"
"storage","buckets","public","boolean"
"storage","buckets","avif_autodetection","boolean"
"storage","buckets","file_size_limit","bigint"
"storage","buckets","allowed_mime_types","ARRAY"
"storage","buckets","owner_id","text"
"storage","migrations","id","integer"
"storage","migrations","name","character varying"
"storage","migrations","hash","character varying"
"storage","migrations","executed_at","timestamp without time zone"
"storage","objects","id","uuid"
"storage","objects","bucket_id","text"
"storage","objects","name","text"
"storage","objects","owner","uuid"
"storage","objects","created_at","timestamp with time zone"
"storage","objects","updated_at","timestamp with time zone"
"storage","objects","last_accessed_at","timestamp with time zone"
"storage","objects","metadata","jsonb"
"storage","objects","path_tokens","ARRAY"
"storage","objects","version","text"
"storage","objects","owner_id","text"
"storage","objects","user_metadata","jsonb"
"storage","s3_multipart_uploads","id","text"
"storage","s3_multipart_uploads","in_progress_size","bigint"
"storage","s3_multipart_uploads","upload_signature","text"
"storage","s3_multipart_uploads","bucket_id","text"
"storage","s3_multipart_uploads","key","text"
"storage","s3_multipart_uploads","version","text"
"storage","s3_multipart_uploads","owner_id","text"
"storage","s3_multipart_uploads","created_at","timestamp with time zone"
"storage","s3_multipart_uploads","user_metadata","jsonb"
"storage","s3_multipart_uploads_parts","id","uuid"
"storage","s3_multipart_uploads_parts","upload_id","text"
"storage","s3_multipart_uploads_parts","size","bigint"
"storage","s3_multipart_uploads_parts","part_number","integer"
"storage","s3_multipart_uploads_parts","bucket_id","text"
"storage","s3_multipart_uploads_parts","key","text"
"storage","s3_multipart_uploads_parts","etag","text"
"storage","s3_multipart_uploads_parts","owner_id","text"
"storage","s3_multipart_uploads_parts","version","text"
"storage","s3_multipart_uploads_parts","created_at","timestamp with time zone"
"vault","decrypted_secrets","id","uuid"
"vault","decrypted_secrets","name","text"
"vault","decrypted_secrets","description","text"
"vault","decrypted_secrets","secret","text"
"vault","decrypted_secrets","decrypted_secret","text"
"vault","decrypted_secrets","key_id","uuid"
"vault","decrypted_secrets","nonce","bytea"
"vault","decrypted_secrets","created_at","timestamp with time zone"
"vault","decrypted_secrets","updated_at","timestamp with time zone"
"vault","secrets","id","uuid"
"vault","secrets","name","text"
"vault","secrets","description","text"
"vault","secrets","secret","text"
"vault","secrets","key_id","uuid"
"vault","secrets","nonce","bytea"
"vault","secrets","created_at","timestamp with time zone"
"vault","secrets","updated_at","timestamp with time zone"
